headline,rank,scraped_at,source,topic_name
Ingraham rips Biden's 'incompetence' in managing tensions between Ukraine and Russia,30,2022-02-01 08:01:13.779813+00:00,foxnews,Russia Ukraine Putin Russian
Europe Thinks Putin Is Planning Something Even Worse Than War,23,2022-02-03 08:00:14.215740+00:00,nytimes,Russia Ukraine Putin Russian
"Analysis: Is Biden’s Putin Strategy Working, or Goading Moscow to War?",0,2022-02-03 08:00:14.215740+00:00,nytimes,Russia Ukraine Putin Russian
"In Responses to Russia, U.S. Stands Firm on Who Can Join NATO",1,2022-02-03 08:00:14.215740+00:00,nytimes,Russia Ukraine Putin Russian
The White House dispatched a top security official to help NATO brace for possible Russian cyberattacks on Ukraine.,4,2022-02-02 08:00:09.730501+00:00,nytimes,Russia Ukraine Putin Russian
Putin Signals Openness to Diplomacy While Blaming U.S. for Crisis,3,2022-02-02 08:00:09.730501+00:00,nytimes,Russia Ukraine Putin Russian
The Hard-Line Russian Advisers Who Have Putin’s Ear,0,2022-01-31 08:00:21.011256+00:00,nytimes,Russia Ukraine Putin Russian
The U.S. and Russia are expected to confront each other over Ukraine at a U.N. Security Council meeting.,1,2022-01-31 08:00:21.011256+00:00,nytimes,Russia Ukraine Putin Russian
Britain moved to broaden the range of sanctions available against Russia should it move against Ukraine.,2,2022-01-31 08:00:21.011256+00:00,nytimes,Russia Ukraine Putin Russian
U.S. Sanctions Aimed at Russia Could Take a Wide Toll,2,2022-01-30 08:00:12.394788+00:00,nytimes,Russia Ukraine Putin Russian
"Vladimir Putin has long tried to balance Europe. Now he’s working to reset it, our columnist writes.",3,2022-01-30 08:00:12.394788+00:00,nytimes,Russia Ukraine Putin Russian
Ukraine Gave Up a Giant Nuclear Arsenal 30 Years Ago. There Are Regrets.,16,2022-02-05 10:01:29.655638+00:00,nytimes,Russia Ukraine Putin Russian
"Analysis: Even as President Biden moves troops close to Ukraine, he has made clear that all options are not on the table.",17,2022-02-05 10:01:29.655638+00:00,nytimes,Russia Ukraine Putin Russian
"Viktor Orban, Hungary’s leader, made his name by defying Moscow. But he has turned toward Russia ahead of a tough election.",18,2022-02-05 10:01:29.655638+00:00,nytimes,Russia Ukraine Putin Russian
U.S. Warns of Grim Toll if Putin Pursues Full Invasion of Ukraine,2,2022-02-05 18:01:02.848082+00:00,nytimes,Russia Ukraine Putin Russian
"If Russia invades, the U.S. is planning sanctions for Russian banks that go far beyond previous penalties.",1,2022-01-29 08:00:09.959837+00:00,nytimes,Russia Ukraine Putin Russian
"Russia Isn’t a Dead Petrostate, and Putin Isn’t Going Anywhere",29,2022-01-29 08:00:09.959837+00:00,nytimes,Russia Ukraine Putin Russian
Putin Is Caught in a Trap of His Own Making,17,2022-01-29 08:00:09.959837+00:00,nytimes,Russia Ukraine Putin Russian
White House Warnings Over Russia Strain Ukraine-U.S. Partnership,0,2022-01-29 08:00:09.959837+00:00,nytimes,Russia Ukraine Putin Russian
Vladimir Putin and Xi Jinping to Meet as Ukraine Standoff Deepens,3,2022-02-04 08:00:09.803296+00:00,nytimes,Russia Ukraine Putin Russian
Europe Thinks Putin Is Planning Something Even Worse Than War,28,2022-02-04 08:00:09.803296+00:00,nytimes,Russia Ukraine Putin Russian
U.S. Exposes What It Says Is Russian Effort to Fabricate Pretext for Invasion,4,2022-02-04 08:00:09.803296+00:00,nytimes,Russia Ukraine Putin Russian
Angry U.S.-Russia Exchange at U.N. Punctuates Deepening Ukraine Rift,5,2022-02-01 08:00:12.592401+00:00,nytimes,Russia Ukraine Putin Russian
LIVE MARKETS European bounce set to continue ,28,2022-02-02 08:01:10.953233+00:00,reuters,Russia Ukraine Putin Russian
Deal on Russia sanctions bill possible this week - U.S. senators ,6,2022-01-31 08:01:27.056943+00:00,reuters,Russia Ukraine Putin Russian
Europe’s gas crunch can avoid worst-case outcome ,24,2022-01-30 08:01:22.434435+00:00,reuters,Russia Ukraine Putin Russian
Russia tells Germany it is open to ending media row ,17,2022-02-05 10:02:51.825216+00:00,reuters,Russia Ukraine Putin Russian
Russia tells Germany it is open to ending media row ,17,2022-02-05 18:02:53.953720+00:00,reuters,Russia Ukraine Putin Russian
U.S. troops prepare for deployment to Eastern Europe from Fort Bragg ,25,2022-02-04 08:01:30.493143+00:00,reuters,Russia Ukraine Putin Russian
U.S. warns Chinese firms against helping Russia against potential Ukraine sanctions ,26,2022-02-04 08:01:30.493143+00:00,reuters,Russia Ukraine Putin Russian
U.S. warns Russia may stage video as pretext to invade Ukraine ,24,2022-02-04 08:01:30.493143+00:00,reuters,Russia Ukraine Putin Russian
Analysis: Traders scour markets for protection amid Ukraine tensions ,27,2022-02-04 08:01:30.493143+00:00,reuters,Russia Ukraine Putin Russian
UK warns Putin of economic pain if Russia invades Ukraine ,30,2022-02-01 08:01:11.504632+00:00,reuters,Russia Ukraine Putin Russian
"Kyiv-bound, UK's Johnson vows to uphold Ukraine's sovereignty ",22,2022-02-01 08:01:11.504632+00:00,reuters,Russia Ukraine Putin Russian
U.S. orders family members of government employees in Belarus to leave ,11,2022-02-01 08:01:11.504632+00:00,reuters,Russia Ukraine Putin Russian
Biden tells emir he will make Qatar major non-NATO ally ,26,2022-02-01 08:01:11.504632+00:00,reuters,Russia Ukraine Putin Russian
Russian artillery positions seen in new satellite images,0,2022-03-22 01:00:45.176961+00:00,cnn,Russian Air Force Made Advances Eastern
Zelensky to NATO: Give us just 1% of what you have,0,2022-03-24 14:01:49.395385+00:00,cnn,Zelensky Zelenskyy Zelenskiy Talks
"Zelensky to CNN: If talks fail, there will be a wider war",0,2022-03-21 01:00:39.795724+00:00,cnn,Zelensky Zelenskyy Zelenskiy Talks
"Zelensky to CNN: If talks fail, there will be a wider war",0,2022-03-20 14:00:35.887117+00:00,cnn,Zelensky Zelenskyy Zelenskiy Talks
"Ukraine tells US it needs 500 Javelins, 500 Stingers a day",0,2022-03-25 01:02:05.325967+00:00,cnn,Missiles Hypersonic Russian Tanks
Ukraine gains ground as Mariupol death toll emerges,0,2022-03-25 14:01:05.153408+00:00,cnn,Mariupol Forces New Effort
'Bombs are falling every 10 minutes' in Mariupol,0,2022-03-21 14:01:48.489597+00:00,cnn,Mariupol Russian Assault
Russia attacks from the sea; Ukraine makes gains near Kyiv,0,2022-03-23 01:00:36.212444+00:00,cnn,Stalemate Army Russian Makes Gains
Ukrainians push back Russian forces east of Kyiv,0,2022-03-24 01:00:48.807401+00:00,cnn,Stalemate Army Russian Makes Gains
Russian forces dig in near Kyiv as brutal strikes continue,0,2022-03-19 01:00:39.590426+00:00,cnn,Kyiv Causing Strikes Continue
New photo shows massive damage to Mariupol theater,0,2022-03-20 01:00:39.659358+00:00,cnn,Images Mariupol Satellite
The Month Companies United Against Russia’s War,0,2022-03-19 14:01:00.392041+00:00,wsj,Companies United Botched War Russians Month
The Month Companies United Against Russia’s War,0,2022-03-20 01:00:47.508627+00:00,wsj,Companies United Botched War Russians Month
"Biden’s Poland Visit to Spotlight Weapons, Aid for Ukraine",0,2022-03-25 14:01:13.184444+00:00,wsj,Biden Going Ukraine
Ukraine Humanitarian Crisis Worsens; Biden to Go to Europe,0,2022-03-23 14:00:55.800300+00:00,wsj,Biden Going Ukraine
Ukrainians Flee as Russian Forces Push to Take Mariupol,0,2022-03-23 01:00:44.912190+00:00,wsj,Mariupol Forces New Effort
Ukraine Rejects Russian Ultimatum on Embattled Mariupol,0,2022-03-21 14:01:55.684717+00:00,wsj,Mariupol Forces New Effort
Ukrainians Flee as Russian Forces Push to Take Mariupol,0,2022-03-22 14:00:55.111258+00:00,wsj,Mariupol Forces New Effort
Ukraine Strikes Russian Navy as War Enters Second Month,0,2022-03-24 14:01:57.178624+00:00,wsj,Port City Destroyed Russian Navy
"Putin adjusts rhetoric with most 'Stalin-esque' speech to date, sparks fears of new 'Red Terror'",0,2022-03-19 01:00:28.361830+00:00,foxnews,Putin Opinion War
"LIVE UPDATES: Putin faces 'grim' future, domestic opposition as Russia becomes pariah state",0,2022-03-20 14:00:24.866318+00:00,foxnews,Putin Opinion War
LIVE UPDATES: Pentagon sees 'clear evidence' of Putin's war crimes in Ukraine as casualties mount,0,2022-03-22 14:00:30.169037+00:00,foxnews,Military Fake Says Despite Russia
DAY 31 LIVE UPDATES: Zelenskyy issues warning to the world during surprise virtual address,0,2022-03-26 14:00:23.360605+00:00,foxnews,Zelensky Zelenskyy Zelenskiy Talks
"LIVE UPDATES: Zelenskyy demands meeting with Putin, wants to be heard... 'especially in Moscow'",0,2022-03-19 14:00:33.164778+00:00,foxnews,Zelensky Zelenskyy Zelenskiy Talks
"Russia claiming to have used hypersonic missile for first time on Ukraine is 'game-changer,' expert warns",0,2022-03-20 01:00:26.757124+00:00,foxnews,Missiles Hypersonic Russian Tanks
"Ukraine, Russia could be inching closer to ending war after diplomatic talks, Turkish president claims",0,2022-03-25 14:00:32.930641+00:00,foxnews,Ukraine War European Bulls Guide
US Army's Green Berets took on critical role that quietly helped tilt the battlefield toward Ukraine,0,2022-03-24 14:00:32.837499+00:00,foxnews,Stalemate Army Russian Makes Gains
LIVE UPDATES: Heavy fighting rages north of Kyiv after deadly Russian airstrike on Ukraine's capital,0,2022-03-21 14:00:30.784868+00:00,foxnews,Kyiv Newfound Unity Bloody Battle
President Is Meeting U.S. Soldiers and Refugees Near Ukraine Border,0,2022-03-25 14:00:43.279157+00:00,nytimes,Refugees Ukrainian Welcome
Ukraine Says It Destroyed Russian Landing Ship,0,2022-03-24 14:00:43.614930+00:00,nytimes,Port City Destroyed Russian Navy
"Rockets Land in Kyiv, Causing Extensive Damage",0,2022-03-24 01:00:43.193366+00:00,nytimes,Kyiv Causing Strikes Continue
Russian Strike Reduces Kyiv Mall to Ruins,0,2022-03-21 14:00:40.592298+00:00,nytimes,Kyiv Causing Strikes Continue
'Picking them off': Petraeus explains how Ukrainians are taking out Russian generals,6,2022-03-21 01:00:39.795724+00:00,cnn,Russian Generals Ukrainians
'Picking them off': How Ukrainians take out Russian generals,6,2022-03-21 14:01:48.489597+00:00,cnn,Russian Generals Ukrainians
CNN Exclusive Defense secretary's assessment of Russian troops,6,2022-03-19 01:00:39.590426+00:00,cnn,Military Fake Says Despite Russia
Opinion: Zelensky's ode to freedom,6,2022-03-20 14:00:35.887117+00:00,cnn,Zelensky Zelenskyy Zelenskiy Talks
Mariupol: See what Russian state TV says about destruction,6,2022-03-25 01:02:05.325967+00:00,cnn,Mariupol Russian Assault
Analysis: White House 'appalled' at Axios over Ukraine article,6,2022-03-20 01:00:39.659358+00:00,cnn,Ukraine Article Brace Terrible Things
These photos show a man's terrifying escape from Mariupol,6,2022-03-19 14:00:49.980593+00:00,cnn,Images Mariupol Satellite
Putin Turned to a Chechen Warlord to Intimidate Ukraine. It Hasn’t Worked.,6,2022-03-19 01:00:49.665832+00:00,wsj,Putin Miscalculation Ukraine Cancel Culture
Putin using 'everything in his arsenal': Rep. Franklin,6,2022-03-20 01:00:26.757124+00:00,foxnews,Putin Opinion War
"Russia, China 'joined at the hip': KT McFarland",6,2022-03-19 14:00:33.164778+00:00,foxnews,China Russia Beijing Censors
Ukrainian military makes gains against Russian forces,6,2022-03-23 01:00:23.577417+00:00,foxnews,Stalemate Army Russian Makes Gains
Residential buildings hit by Russian missiles in Kyiv,6,2022-03-22 01:00:27.800926+00:00,foxnews,Kyiv Causing Strikes Continue
"Walls, dreams and genocide: In speeches to lawmakers around the globe, Volodymyr Zelensky invoked history to rally support.",6,2022-03-22 14:00:40.316493+00:00,nytimes,Zelensky Zelenskyy Zelenskiy Talks
The U.S. has tried to strike a tenuous balance between aiding Ukraine and avoiding an escalation with Moscow.,6,2022-03-20 14:00:35.958756+00:00,nytimes,Ukraine America Deepen
"After about 600 hours, 64 workers at the Chernobyl plant have been relieved.",6,2022-03-21 01:00:40.696598+00:00,nytimes,Chernobyl Plant Staff Russian Forces
One of Europe’s largest retailers is still operating in Russia. Its Ukrainian workers are furious.,6,2022-03-25 14:00:43.279157+00:00,nytimes,Big French Selling Russia
Here are some of the Western powerhouses among the roughly 400 companies that have withdrawn from Russia.,6,2022-03-24 14:00:43.614930+00:00,nytimes,Big French Selling Russia
"U.S. to welcome up to 100,000 Ukrainians fleeing war ",6,2022-03-24 14:01:54.928220+00:00,reuters,Refugees Ukrainian Welcome
"Stuck at Mexico border, anti-war Russians sweat their futures as Ukrainians enter U.S. ",6,2022-03-20 01:01:41.546716+00:00,reuters,Stuck Border Anti Russians Sweat
"Hollywood star sends fiery message to Putin, sounds alarm about ripple effect",30,2022-03-19 01:00:28.361830+00:00,foxnews,Putin Opinion War
"Thanks to Europe, Putin’s War Is Paying for Itself",30,2022-03-25 01:01:02.726114+00:00,nytimes,Putin Opinion War
Four Opinion Writers on the War: ‘Putin’s Final Cards Are Very Far From Played’,30,2022-03-19 14:00:47.862725+00:00,nytimes,Putin Opinion War
"Xi, Putin and Trump: The Strongmen Follies",30,2022-03-24 01:00:43.193366+00:00,nytimes,Putin Opinion War
"While Putin Shrinks, Zelensky Soars",30,2022-03-21 01:00:40.696598+00:00,nytimes,Zelensky Zelenskyy Zelenskiy Talks
"U.S., EU strike LNG deal as Europe seeks to cut Russian gas ",30,2022-03-26 01:02:35.569943+00:00,reuters,Gas Europe Russian Eu
Zelenskiy suggests Israel as good place to hold talks with Russia ,30,2022-03-21 01:01:42.174180+00:00,reuters,Zelensky Zelenskyy Zelenskiy Talks
"EXCLUSIVE China's Sinopec pauses Russia projects, Beijing wary of sanctions -sources ",30,2022-03-25 14:01:55.033349+00:00,reuters,China Russia Beijing Censors
U.S. Says Myanmar Military Committed Genocide Against Rohingya,28,2022-03-22 01:00:51.963307+00:00,wsj,Military Fake Says Despite Russia
UN releases latest estimate of Ukrainians forced to flee home,28,2022-03-21 01:00:27.112836+00:00,foxnews,Refugees Ukrainian Welcome
Bill Maher slams cancel culture 'lumping' Russians with Putin,28,2022-03-19 14:00:33.164778+00:00,foxnews,Putin Miscalculation Ukraine Cancel Culture
"Putin Only Cares About One Thing, and It’s Not Oligarchs",28,2022-03-26 14:00:32.270699+00:00,nytimes,Putin Opinion War
Four Opinion Writers on the War: ‘Putin’s Final Cards Are Very Far From Played’,28,2022-03-19 01:00:42.739372+00:00,nytimes,Putin Opinion War
It’s Not About Putin: Two Conservatives Break Down the G.O.P. Split Over Ukraine,28,2022-03-24 01:00:43.193366+00:00,nytimes,Putin Miscalculation Ukraine Cancel Culture
How Will the Ukraine War End?,28,2022-03-24 14:00:43.614930+00:00,nytimes,Ukraine War European Bulls Guide
EU plans joint gas purchases but at odds over Russia oil embargo amid energy crunch ,28,2022-03-25 14:01:55.033349+00:00,reuters,Gas Europe Russian Eu
"As fighting rages in Mariupol, Ukraine's Zelenskiy appeals for help from Israel ",28,2022-03-21 01:01:42.174180+00:00,reuters,Zelensky Zelenskyy Zelenskiy Talks
Mariupol says thousands deported from besieged Ukrainian city ,28,2022-03-20 14:01:42.843645+00:00,reuters,Mariupol Forces New Effort
"Zelensky: 'If we were a NATO member, a war wouldn't have started'",14,2022-03-21 01:00:39.795724+00:00,cnn,Zelensky Zelenskyy Zelenskiy Talks
A look at trying to predict Putin's endgame,14,2022-03-19 01:00:28.361830+00:00,foxnews,Putin Opinion War
This should serve as a deterrent to other authoritarians: Jason Riley,14,2022-03-19 14:00:33.164778+00:00,foxnews,Putin Opinion War
Putin is reckless and immoral: GOP senator,14,2022-03-22 01:00:27.800926+00:00,foxnews,Putin Opinion War
Putin will be forced to leave: Drago,14,2022-03-20 14:00:24.866318+00:00,foxnews,Putin Opinion War
UN reports more than 3.3. million have fled Ukraine,14,2022-03-20 01:00:26.757124+00:00,foxnews,Refugees Ukrainian Welcome
Rival of Ukraine's Zelenskyy helping supply Ukrainian forces amid Putin's war,14,2022-03-23 01:00:23.577417+00:00,foxnews,Zelensky Zelenskyy Zelenskiy Talks
"U.S. soldiers alive, despite Russia 'fake news' report, U.S. military says ",14,2022-03-20 01:01:41.546716+00:00,reuters,Military Fake Says Despite Russia
Rome ready to fund up to 40% of Intel's planned investment in Italy - sources ,14,2022-03-22 01:01:53.266544+00:00,reuters,Italy Ready Mariupol Minister Ukraine
Vote to revoke 'most-favored' trade status for Russia delayed in U.S. Senate ,14,2022-03-25 01:02:21.263768+00:00,reuters,Introduce Bill Imports Russian Uranium
"U.S. citizen killed in Ukraine while waiting in bread line, family says ",14,2022-03-19 01:03:18.378111+00:00,reuters,Citizen Family Says Line Ukraine
Opinion: The number that puts Vladimir Putin at risk,7,2022-03-25 01:02:05.325967+00:00,cnn,Putin Opinion War
'Achilles' heel': Putin faces growing problem at home,7,2022-03-24 14:01:49.395385+00:00,cnn,Putin Opinion War
Opinion: Zelensky's message of defiance hits home,7,2022-03-21 01:00:39.795724+00:00,cnn,Zelensky Zelenskyy Zelenskiy Talks
Russian assault: Mariupol under fire 'the whole day and night',7,2022-03-20 14:00:35.887117+00:00,cnn,Mariupol Russian Assault
Ukraine fights to regain territory as Russia attacks from sea,7,2022-03-23 14:00:48.368903+00:00,cnn,Stalemate Army Russian Makes Gains
Stuck: US policy keeps Ukraine refugees at Mexican border,7,2022-03-19 01:00:39.590426+00:00,cnn,Stuck Border Anti Russians Sweat
"U.S., U.K. Strike Trade Deal to End Tariffs on British Steel and American Whiskey",7,2022-03-23 01:00:44.912190+00:00,wsj,Gas Europe Russian Eu
War in Ukraine Forces European Bulls to Unwind Bets,7,2022-03-24 14:01:57.178624+00:00,wsj,Ukraine War European Bulls Guide
Putin a 'madman': Rep. Meeks,7,2022-03-19 01:00:28.361830+00:00,foxnews,Putin Opinion War
Putin targeting civilians is 'incomprehensible': Johnny 'Joey' Jones,7,2022-03-20 01:00:26.757124+00:00,foxnews,Putin Opinion War
Ukrainian refugees finding it hard to flee to the US,7,2022-03-23 14:00:24.271058+00:00,foxnews,Refugees Ukrainian Welcome
Ukrainian refugees make way to US-Mexico border,7,2022-03-21 01:00:27.112836+00:00,foxnews,Refugees Ukrainian Welcome
John Kirby: 'Clear evidence that Russian military is conducting war crimes',7,2022-03-22 14:00:30.169037+00:00,foxnews,Military Fake Says Despite Russia
"Volodymyr Zelensky has turned the olive green T-shirt into a symbol of strength for Ukraine, our fashion critic writes.",7,2022-03-22 01:00:40.285162+00:00,nytimes,Zelensky Zelenskyy Zelenskiy Talks
Here’s why the U.S. was wrong about Ukraine and the war in Afghanistan.,7,2022-03-25 01:01:02.726114+00:00,nytimes,Ukraine America Deepen
A small but persistent number of Chinese scholars and journalists is evading Beijing’s censors to denounce the war.,7,2022-03-19 14:00:47.862725+00:00,nytimes,China Russia Beijing Censors
Opinion: Putin's dream to restore Russia's glory is turning to ashes,5,2022-03-26 01:00:36.451131+00:00,cnn,Putin Opinion War
Analysis: Calling Putin a war criminal is a bigger deal than you think,5,2022-03-21 14:01:48.489597+00:00,cnn,Putin Opinion War
